Fwd Rate        Rev Rate        Net Rate        Partial Equil.  Reaction String                 
7.704088e-11    9.080897e-19    7.704088e-11    1.000000e+00    2 O + M <=> O2 + M
1.362477e-09    3.685998e-21    1.362477e-09    1.000000e+00    H + O + M <=> OH + M
7.546049e-04    2.944913e-08    7.545755e-04    9.999610e-01    H2 + O <=> H + OH
5.604627e-05    1.069079e-13    5.604627e-05    1.000000e+00    HO2 + O <=> O2 + OH
2.033467e-06    3.307303e-10    2.033137e-06    9.998374e-01    H2O2 + O <=> HO2 + OH
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH + O <=> CO + H
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH2 + O <=> H + HCO
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH2(S) + O <=> CO + H2
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH2(S) + O <=> H + HCO
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH3 + O <=> CH2O + H
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH4 + O <=> CH3 + OH
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CO + O (+M) <=> CO2 (+M)
0.000000e+00    0.000000e+00    0.000000e+00    -nan            HCO + O <=> CO + OH
0.000000e+00    0.000000e+00    0.000000e+00    -nan            HCO + O <=> CO2 + H
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH2O + O <=> HCO + OH
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH2OH + O <=> CH2O + OH
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH3O + O <=> CH2O + OH
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH3OH + O <=> CH2OH + OH
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH3OH + O <=> CH3O + OH
0.000000e+00    0.000000e+00    0.000000e+00    -nan            C2H + O <=> CH + CO
0.000000e+00    0.000000e+00    0.000000e+00    -nan            C2H2 + O <=> H + HCCO
0.000000e+00    0.000000e+00    0.000000e+00    -nan            C2H2 + O <=> C2H + OH
0.000000e+00    0.000000e+00    0.000000e+00    -nan            C2H2 + O <=> CH2 + CO
0.000000e+00    0.000000e+00    0.000000e+00    -nan            C2H3 + O <=> CH2CO + H
0.000000e+00    0.000000e+00    0.000000e+00    -nan            C2H4 + O <=> CH3 + HCO
0.000000e+00    0.000000e+00    0.000000e+00    -nan            C2H5 + O <=> CH2O + CH3
0.000000e+00    0.000000e+00    0.000000e+00    -nan            C2H6 + O <=> C2H5 + OH
0.000000e+00    0.000000e+00    0.000000e+00    -nan            HCCO + O <=> 2 CO + H
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH2CO + O <=> HCCO + OH
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH2CO + O <=> CH2 + CO2
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CO + O2 <=> CO2 + O
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH2O + O2 <=> HCO + HO2
1.092077e-04    1.548874e-07    1.090528e-04    9.985837e-01    H + O2 + M <=> HO2 + M
2.929013e-05    4.154167e-08    2.924858e-05    9.985837e-01    H + 2 O2 <=> HO2 + O2
2.216972e-03    3.144293e-06    2.213828e-03    9.985837e-01    H + H2O + O2 <=> H2O + HO2
5.183591e-04    7.351796e-07    5.176239e-04    9.985837e-01    H + N2 + O2 <=> HO2 + N2
0.000000e+00    0.000000e+00    0.000000e+00    -nan            AR + H + O2 <=> AR + HO2
7.381202e-04    1.694126e-07    7.379508e-04    9.997705e-01    H + O2 <=> O + OH
6.989365e-09    4.845191e-16    6.989364e-09    9.999999e-01    2 H + M <=> H2 + M
1.317856e-09    9.135683e-17    1.317856e-09    9.999999e-01    2 H + H2 <=> 2 H2
2.495308e-08    1.729806e-15    2.495308e-08    9.999999e-01    2 H + H2O <=> H2 + H2O
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CO2 + 2 H <=> CO2 + H2
4.413368e-08    1.393711e-16    4.413368e-08    1.000000e+00    H + OH + M <=> H2O + M
6.664328e-05    3.405766e-14    6.664328e-05    1.000000e+00    H + HO2 <=> H2O + O
6.159819e-04    3.010776e-08    6.159518e-04    9.999511e-01    H + HO2 <=> H2 + O2
